relative_path,source_file,page,page_count,char_count,reason,diagnosis,recommended_action,image_count,image_info_count,text_blocks,image_blocks,drawings,image_coverage,max_image_coverage,text_preview
171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,1,4,0,empty_text,likely_scanned_or_full_page_image,OCR page render; optionally extract full-page image,1,1,0,1,0,1.0,1.0,
171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,2,4,0,empty_text,likely_scanned_or_full_page_image,OCR page render; optionally extract full-page image,1,1,0,1,0,1.0,1.0,
171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,3,4,0,empty_text,likely_scanned_or_full_page_image,OCR page render; optionally extract full-page image,1,1,0,0,0,1.0,1.001,
171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,4,4,0,empty_text,likely_scanned_or_full_page_image,OCR page render; optionally extract full-page image,1,1,0,1,0,1.0,1.0,
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,2,56,5,too_few_text_chars,few_chars_text_only_or_separator,"inspect/render; often page number, blank, divider, or table artifact",0,0,1,0,0,0.0,0.0,- 2 -
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,4,56,5,too_few_text_chars,few_chars_text_only_or_separator,"inspect/render; often page number, blank, divider, or table artifact",0,0,1,0,0,0.0,0.0,- 4 -
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,38,56,6,too_few_text_chars,few_chars_text_only_or_separator,"inspect/render; often page number, blank, divider, or table artifact",0,0,1,0,0,0.0,0.0,- 38 -
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,46,56,6,too_few_text_chars,few_chars_text_only_or_separator,"inspect/render; often page number, blank, divider, or table artifact",0,0,1,0,0,0.0,0.0,- 46 -
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,50,56,6,too_few_text_chars,few_chars_text_only_or_separator,"inspect/render; often page number, blank, divider, or table artifact",0,0,1,0,0,0.0,0.0,- 50 -
20081006-np-cicde-pia-3312-drones-2008.pdf,20081006-np-cicde-pia-3312-drones-2008.pdf,3,25,0,empty_text,image_only_or_image_dominant_without_text_layer,OCR page render; extract embedded images if needed,2,2,0,2,0,0.825,0.413,
20081006-np-cicde-pia-3312-drones-2008.pdf,20081006-np-cicde-pia-3312-drones-2008.pdf,4,25,0,empty_text,image_only_or_image_dominant_without_text_layer,OCR page render; extract embedded images if needed,2,2,0,2,0,0.837,0.419,
20081006-np-cicde-pia-3312-drones-2008.pdf,20081006-np-cicde-pia-3312-drones-2008.pdf,5,25,0,empty_text,image_only_or_image_dominant_without_text_layer,OCR page render; extract embedded images if needed,2,2,0,2,0,0.312,0.156,
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2,180,1,too_few_text_chars,few_chars_text_only_or_separator,"inspect/render; often page number, blank, divider, or table artifact",0,0,2,0,0,0.0,0.0,2
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,144,180,3,too_few_text_chars,page_number_or_tiny_text_plus_full_page_image,OCR page render; keep existing tiny text only as metadata,1,1,2,1,0,0.76,0.76,144
